Trade Date,Order Type,Security,Quantity,Executed Price
06/25/2020,Buy,FNSFX,60.411,11.46
07/13/2020,Buy,FNSFX,59.172,11.7
07/24/2020,Buy,FNSFX,57.934,11.95
08/07/2020,Buy,FNSFX,45.065,12.29
08/20/2020,Buy,FNSFX,11.166,12.4
08/21/2020,Buy,FNSFX,55.831,12.4
09/08/2020,Buy,FNSFX,56.515,12.25
09/18/2020,Buy,FNSFX,55.562,12.46
10/01/2020,Buy,FNSFX,55.607,12.45
10/16/2020,Buy,FNSFX,56.047,12.79
10/29/2020,Buy,FNSFX,57.9,12.31
11/13/2020,Buy,FNSFX,53.43,13.34
11/25/2020,Buy,FNSFX,51.911,13.73
12/11/2020,Buy,FNSFX,51.02,13.97
12/24/2020,Buy,FNSFX,50.265,14.18
12/30/2020,Buy,FNSFX,15.711,14.06
01/08/2021,Buy,FNSFX,49.087,14.52
01/22/2021,Buy,FNSFX,48.719,14.63
02/04/2021,Buy,FNSFX,48.585,14.67
02/18/2021,Buy,FNSFX,115.052,14.95
03/05/2021,Buy,FNSFX,48.652,14.65
03/22/2021,Buy,FNSFX,47.74,14.93
04/05/2021,Buy,FNSFX,93.782,15.2
04/15/2021,Buy,FNSFX,46.192,15.43
04/30/2021,Buy,FNSFX,17.924,15.45
05/03/2021,Buy,FNSFX,45.925,15.52
05/14/2021,Buy,FNSFX,54.245,14.89
05/18/2021,Buy,FNSFX,47.9,14.88
05/19/2021,Sell,FNSFX,48.256,14.77
05/19/2021,Sell,FNSFX,0.512,14.79
05/20/2021,Buy,ANET,46,335.93
05/28/2021,Buy,FNSFX,47.015,15.16
06/11/2021,Buy,FNSFX,46.434,15.35
06/25/2021,Buy,FNSFX,46.434,15.35
07/06/2021,Buy,VTSAX,28.87532,109.36
07/07/2021,Buy,QQQ,5.0,362.54
07/07/2021,Buy,VOO,5.0,398.71
07/09/2021,Buy,AAPL,2.0,142.76
07/09/2021,Buy,FNSFX,49.625,15.32
07/23/2021,Buy,FNSFX,49.723,15.29
07/30/2021,Buy,AAPL,1.0,144.49
07/30/2021,Buy,QQQ,6.0,362.44
07/30/2021,Buy,MSFT,2.0,285.17
07/30/2021,Buy,VOO,5.0,402.64
08/03/2021,Buy,AMC,1.0,35.15
08/03/2021,Buy,RBLX,1.0,77.0
08/05/2021,Buy,AMC,1.0,31.09
08/05/2021,Buy,BA,1.0,226.68
08/05/2021,Buy,CRM,1.0,245.0
08/06/2021,Buy,FNSFX,49.4,15.39
08/11/2021,Buy,MRNA,1.0,443.34
08/11/2021,Buy,PFE,1.0,46.48
08/13/2021,Sell,AMC,2.0,33.92
08/13/2021,Buy,RBLX,1.0,83.74
08/16/2021,Buy,ANET,22,365.51
08/17/2021,Buy,AAPL,3.0,150.84
08/17/2021,Buy,PFE,1.0,49.72
08/20/2021,Buy,ANET,11,369.86
08/20/2021,Buy,FNSFX,50.149,15.16
08/24/2021,Buy,AAPL,1.0,149.53
08/24/2021,Buy,MSFT,1.0,302.79
08/24/2021,Buy,PFE,1.0,48.38
08/25/2021,Buy,AAPL,5.0,147.91
08/25/2021,Buy,COST,1.0,451.65
08/25/2021,Buy,QQQ,3.0,374.34
08/25/2021,Buy,MSFT,3.0,300.97
08/25/2021,Buy,MRNA,1.0,398.29
08/25/2021,Buy,PFE,10.0,47.48
08/25/2021,Buy,SPY,3.0,449.11
08/26/2021,Buy,ARKW,1.0,150.6
08/26/2021,Buy,BA,1.0,217.77
08/26/2021,Buy,RBLX,3.0,86.99
08/26/2021,Buy,CRM,1.0,273.76
08/27/2021,Buy,CRM,1.0,267.9
08/30/2021,Buy,MRNA,1.0,368.93
09/01/2021,Buy,AAPL,3.0,152.82
09/01/2021,Buy,MSFT,1.0,302.88
09/01/2021,Buy,RBLX,3.0,81.62
09/02/2021,Buy,MSFT,1.0,300.67
09/02/2021,Buy,PFE,5.0,46.44
09/02/2021,Buy,CRM,1.0,265.89
09/03/2021,Buy,BA,1.0,218.23
09/03/2021,Buy,RBLX,2.0,82.35
09/03/2021,Buy,CRM,1.0,263.6
09/03/2021,Buy,FNSFX,48.302,15.74
09/07/2021,Buy,BA,1.0,212.83
09/08/2021,Buy,RBLX,1.0,82.31
09/08/2021,Buy,CRM,1.0,263.62
09/10/2021,Buy,PFE,1.0,45.67
09/15/2021,Buy,AAPL,3.0,148.53
09/16/2021,Buy,PFE,1.0,44.88
09/17/2021,Buy,FNSFX,49.176,15.46
09/21/2021,Buy,PFE,2.0,44.0
09/21/2021,Buy,SPY,1.0,435.54
09/24/2021,Buy,VTSAX,0.00383,115.0
09/27/2021,Buy,AAPL,20.0,145.68
09/27/2021,Buy,QQQ,5.0,370.97
09/28/2021,Buy,MSFT,5.0,285.01
09/28/2021,Buy,VOO,5.0,400.0
10/01/2021,Buy,VOO,1.0,396.24
10/01/2021,Buy,FNSFX,50.05,15.19
10/04/2021,Buy,QQQ,1.0,351.44
10/14/2021,Buy,AAPL,5.0,142.08
10/14/2021,Sell,BA,4.0,221.07
10/15/2021,Buy,FNSFX,48.703,15.61
10/22/2021,Sell,RBLX,11.0,81.78
10/26/2021,Buy,COST,1.0,484.04
10/26/2021,Buy,NVDA,1.0,240.0
10/27/2021,Buy,AAPL,1.0,148.9
10/27/2021,Buy,NVDA,1.0,244.7
10/27/2021,Buy,SPY,1.0,454.0
10/27/2021,Buy,VOO,1.0,417.5
10/28/2021,Buy,ARKW,2.0,153.22
10/29/2021,Buy,AAPL,5.0,148.7
10/29/2021,Buy,FNSFX,48.271,15.75
11/01/2021,Buy,AAPL,1.0,148.82
11/01/2021,Buy,MSFT,1.0,329.44
11/02/2021,Buy,ARKW,2.0,158.28
11/02/2021,Buy,CRM,1.0,301.37
11/02/2021,Buy,VTSAX,8.605,116.21
11/03/2021,Buy,NVDA,1.0,262.8
11/03/2021,Buy,CRM,1.0,300.68
11/04/2021,Buy,ARKW,1.0,160.4
11/05/2021,Buy,ARKW,1.0,157.53
11/05/2021,Buy,AAPL,1.0,151.89
11/05/2021,Buy,COST,1.0,513.57
11/05/2021,Buy,MSFT,1.0,335.71
11/05/2021,Sell,PFE,22.0,47.73
11/05/2021,Buy,CRM,1.0,306.56
11/08/2021,Buy,AAPL,1.0,150.59
11/08/2021,Buy,COST,1.0,504.9
11/08/2021,Buy,COST,1.0,505.09
11/09/2021,Buy,ARKW,1.0,157.99
11/09/2021,Buy,QQQ,2.0,394.81
11/09/2021,Buy,MSFT,1.0,335.79
11/09/2021,Buy,NVDA,1.0,305.61
11/09/2021,Buy,VOO,1.0,428.99
11/09/2021,Buy,VOO,1.0,429.08
11/11/2021,Buy,ARKW,1.0,155.22
11/11/2021,Buy,AAPL,1.0,149.0
11/11/2021,Buy,QQQ,2.0,392.49
11/11/2021,Buy,MSFT,1.0,331.25
11/11/2021,Buy,NVDA,3.0,304.57
11/11/2021,Buy,CRM,2.0,301.5
11/11/2021,Buy,VOO,1.0,427.7
11/15/2021,Sell,ARKW,9.0,157.12
11/15/2021,Buy,FNSFX,47.339,16.06
11/16/2021,Buy,NVDA,1.0,297.57
11/17/2021,Buy,NVDA,3.0,294.17
11/18/2021,Buy,CRM,1.0,304.5
11/19/2021,Buy,CRM,1.0,305.71
11/22/2021,Buy,CRM,1.0,297.37
11/22/2021,Buy,ANET,45,128.16
11/23/2021,Buy,QQQ,1.0,395.57
11/23/2021,Buy,CRM,1.0,289.99
11/29/2021,Buy,AAPL,1.0,159.23
11/29/2021,Buy,AAPL,2.0,159.23
11/29/2021,Buy,COST,1.0,546.13
11/29/2021,Buy,QQQ,2.0,395.93
11/29/2021,Buy,MSFT,2.0,334.98
11/29/2021,Buy,NVDA,1.0,324.0
11/29/2021,Buy,NVDA,2.0,324.0
11/29/2021,Buy,SPY,2.0,464.11
11/29/2021,Buy,SPY,5.0,464.11
11/29/2021,Buy,CRM,1.0,289.52
11/29/2021,Buy,VOO,2.0,426.73
11/29/2021,Buy,FNSFX,48.986,15.52
11/30/2021,Buy,NVDA,1.0,326.14
11/30/2021,Buy,CRM,1.0,284.33
12/01/2021,Buy,CRM,4.0,255.03
12/08/2021,Buy,COST,1.0,528.47
12/13/2021,Buy,FNSFX,49.145,15.47
12/14/2021,Buy,MSFT,1.0,327.62
12/14/2021,Buy,CRM,1.0,254.93
12/27/2021,Buy,VTSAX,0.00585,118.0
12/27/2021,Buy,FNSFX,48.179,15.78
12/29/2021,Buy,AAPL,1.0,179.3
12/29/2021,Buy,QQQ,2.0,401.88
12/29/2021,Buy,NVDA,2.0,303.11
12/29/2021,Buy,CRM,1.0,256.0
12/30/2021,Buy,QQQ,1.0,401.45
12/30/2021,Buy,NVDA,1.0,298.24
12/30/2021,Buy,FNSFX,135.987,14.85
12/31/2021,Buy,COST,1.0,563.41
12/31/2021,Buy,QQQ,1.0,398.68
12/31/2021,Buy,QQQ,2.0,399.71
12/31/2021,Buy,MSFT,1.0,337.43
12/31/2021,Buy,MSFT,1.0,338.41
12/31/2021,Buy,NVDA,1.0,296.52
12/31/2021,Buy,SPY,1.0,475.62
12/31/2021,Buy,VOO,2.0,437.29
01/03/2022,Buy,MSFT,1.0,333.92
01/04/2022,Buy,QQQ,5.0,394.23
01/04/2022,Buy,SPY,1.0,476.48
01/04/2022,Buy,VTSAX,8.471,118.05
01/07/2022,Buy,FNSFX,51.824,14.67
01/19/2022,Buy,QQQ,1.0,372.02
01/21/2022,Buy,FNSFX,53.881,14.11
02/01/2022,Buy,VTSAX,8.981,111.34
02/04/2022,Buy,FNSFX,53.39,14.24
02/15/2022,Buy,ANET,94,129.94
02/22/2022,Buy,ANET,44,121.83
02/22/2022,Buy,FNSFX,54.971,13.83
03/01/2022,Buy,VTSAX,9.438,105.96
03/07/2022,Buy,FNSFX,58.392,13.02
03/08/2022,Buy,NVDA,1.0,213.0
03/08/2022,Buy,CRM,1.0,194.12
03/18/2022,Buy,FNSFX,54.735,13.89
03/24/2022,Buy,BRK-B,1.0,351.12
03/24/2022,Buy,DIA,1.0017,344.5
03/24/2022,Buy,SCI,1.16828,63.7
03/24/2022,Buy,VTI,1.0,225.01
03/24/2022,Buy,WM,1.0,153.96
03/29/2022,Buy,SCI,1.0,65.33
03/29/2022,Buy,SCI,1.0,64.51
03/31/2022,Buy,SPY,1.0,457.92
03/31/2022,Buy,DIA,1.0,348.77
03/31/2022,Buy,VTI,1.0,230.68
04/01/2022,Buy,FNSFX,54.266,14.01
04/04/2022,Buy,BRK-B,1.0,345.43
04/04/2022,Buy,SCI,1.0,65.02
04/05/2022,Buy,VTSAX,9.044,110.57
04/05/2022,Buy,VTI,1.0,228.11
04/06/2022,Buy,VTI,1.0,224.74
04/08/2022,Buy,VTI,1.0,224.12
04/14/2022,Buy,FNSFX,56.067,13.56
04/29/2022,Buy,SCI,4.0,66.42
04/29/2022,Buy,WM,2.0,167.22
04/29/2022,Buy,FNSFX,59.072,12.87
05/02/2022,Buy,SCI,1.0,65.77
05/02/2022,Buy,SCI,4.0,64.33
05/02/2022,Buy,WM,1.0,163.6
05/06/2022,Buy,FNSFX,192.867,11.85
05/13/2022,Buy,FNSFX,65.258,11.65
05/20/2022,Buy,ANET,45,102.64
05/27/2022,Buy,FNSFX,62.522,12.16
06/03/2022,Buy,AAPL,2.0,145.24
06/03/2022,Buy,DIA,1.0,329.97
06/03/2022,Buy,SCI,1.0,71.03
06/03/2022,Buy,WM,1.0,159.17
06/03/2022,Buy,WM,1.0,159.17
06/10/2022,Buy,FNSFX,65.653,11.58
06/24/2022,Buy,FNSFX,70.705,11.37
07/05/2022,Buy,VTSAX,10.74,93.11
07/11/2022,Buy,FNSFX,76.95,11.1
07/12/2022,Buy,BUG,1.0,26.61
07/12/2022,Buy,BUG,1.0,25.27
07/22/2022,Buy,FNSFX,74.664,11.44
07/29/2022,Buy,BUG,1.0,25.58
08/01/2022,Buy,WM,1.0,163.61
08/02/2022,Buy,BRK-B,1.0,295.21
08/02/2022,Buy,BUG,1.0,26.23
08/02/2022,Buy,DIA,1.0,327.18
08/02/2022,Buy,SCI,1.0,74.47
08/02/2022,Buy,SCI,2.0,74.44
08/05/2022,Buy,FNSFX,72.263,11.82
08/15/2022,Buy,ANET,93,128.74
08/22/2022,Buy,ANET,47,127.14
08/22/2022,Buy,FNSFX,73.004,11.7
08/23/2022,Buy,BUG,1.0,27.76
08/31/2022,Buy,BRK-B,1.0,284.08
08/31/2022,Buy,BUG,1.0,27.05
08/31/2022,Buy,DIA,1.0,317.83
08/31/2022,Buy,SCI,1.0,61.99
08/31/2022,Buy,SCI,1.0,61.98
08/31/2022,Buy,SCI,1.0,62.0
08/31/2022,Buy,WM,1.0,170.65
09/02/2022,Buy,FNSFX,75.924,11.25
09/14/2022,Buy,BUG,1.0,26.56
09/16/2022,Buy,FNSFX,76.881,11.11
09/29/2022,Buy,AAPL,1.0,141.17
09/29/2022,Buy,AAPL,1.0,141.13
09/29/2022,Buy,COST,1.0,475.33
09/29/2022,Buy,BUG,1.0,24.04
09/29/2022,Buy,SCI,1.0,57.57
09/29/2022,Buy,WM,1.0,161.24
09/30/2022,Buy,FNSFX,82.686,10.33
10/07/2022,Buy,BUG,1.0,24.53
10/07/2022,Buy,BUG,1.0,24.53
10/14/2022,Buy,FNSFX,82.767,10.32
10/27/2022,Sell,ANET,184,119.18
10/28/2022,Sell,ANET,44,121.35
10/28/2022,Sell,ANET,88,121.33
10/28/2022,Buy,FNSFX,77.792,10.98
11/14/2022,Buy,BUG,2.0,23.61
11/14/2022,Buy,FNSFX,74.338,11.49
11/18/2022,Buy,BUG,1.0,22.98
11/21/2022,Buy,ANET,45,134.61
11/25/2022,Buy,FNSFX,73.192,11.67
11/28/2022,Sell,ANET,45,135.4
12/06/2022,Buy,AAPL,1.0,147.03
12/06/2022,Buy,AAPL,1.0,144.23
12/06/2022,Buy,BRK-B,1.0,309.3
12/06/2022,Buy,COST,1.0,490.66
12/06/2022,Buy,COST,1.0,482.2
12/06/2022,Buy,BUG,2.0,22.3
12/12/2022,Sell,FNSFX,0.44,11.66
12/13/2022,Buy,FNSFX,72.57,11.77
12/15/2022,Buy,AAPL,1.0,137.05
12/15/2022,Buy,BRK-B,1.0,302.8
12/15/2022,Buy,COST,1.0,466.28
12/15/2022,Buy,DIA,1.0,333.48
12/16/2022,Buy,DIA,1.0,327.21
12/16/2022,Buy,SCI,1.0,68.06
12/16/2022,Buy,WM,1.0,161.62
12/16/2022,Buy,WM,1.0,161.72
12/22/2022,Buy,BUG,3.0,20.8
12/27/2022,Buy,FNSFX,75.189,11.36
12/29/2022,Buy,PTLC,1.0,37.51
12/29/2022,Buy,FNSFX,139.912,11.06
12/30/2022,Buy,SCHD,1.0,75.1
12/30/2022,Buy,SCI,1.0,69.0
12/30/2022,Buy,WM,1.0,156.25
01/03/2023,Sell,BUG,18.0,20.525
01/03/2023,Sell,MRNA,3.0,180.34
01/03/2023,Buy,SCI,1.0,67.034
01/03/2023,Buy,SCHD,1.0,75.239
01/03/2023,Buy,PTLC,3.0,37.515
01/03/2023,Buy,DIA,1.0,329.435
01/03/2023,Buy,BRK-B,1.0,308.1795
01/03/2023,Buy,WM,1.0,155.9633
01/03/2023,Buy,SCI,1.0,66.98
01/05/2023,Buy,WM,1.0,155.065
01/06/2023,Buy,FNSFX,75.522,11.31
01/09/2023,Buy,BUG,0.28048,20.4600
01/09/2023,Sell,VTI,5.0,195.21
01/10/2023,Buy,WM,2.0,153.835
01/10/2023,Buy,PTLC,1.0,37.5285
01/10/2023,Sell,BUG,0.28048,20.3
01/12/2023,Buy,WM,1.0,154.93
01/12/2023,Buy,PTLC,1.0,37.535
01/13/2023,Buy,PTLC,1.0,37.5387
01/18/2023,Buy,BRK-B,1.0,311.78
01/18/2023,Buy,WM,1.0,151.945
01/19/2023,Buy,BRK-B,1.0,306.29
01/20/2023,Buy,FNSFX,72.88,11.72
02/03/2023,Sell,VTSAX,14.16,101.16
02/03/2023,Buy,FNSFX,71.357,11.97
02/06/2023,Buy,BRK-B,1.0,307.18
02/06/2023,Buy,WM,1.0,151.39
02/06/2023,Buy,SCI,1.0,72.51
02/07/2023,Buy,SCI,2.0,71.3
02/08/2023,Buy,BRK-B,1.0,308.64
02/08/2023,Buy,SCI,1.0,70.8029
02/08/2023,Buy,SCHD,1.0,76.745
02/08/2023,Buy,PTLC,2.0,38.0283
02/09/2023,Buy,SCHD,1.0,76.175
02/10/2023,Buy,PTLC,2.0,37.6999
02/14/2023,Buy,SCHD,1.0,77.0333
02/14/2023,Buy,PTLC,1.0,38.0883
02/15/2023,Sell,QQQ,3.0,307.1565
02/15/2023,Buy,SCI,4.0,69.825
02/15/2023,Buy,BRK-B,1.0,309.15
02/15/2023,Buy,ANET,96,141.52
02/16/2023,Buy,PTLC,2.0,38.0823
02/16/2023,Buy,SCHD,1.0,76.88
02/16/2023,Sell,ANET,94,141.37
02/17/2023,Buy,PTLC,2.0,37.47
02/17/2023,Buy,FNSFX,72.57,11.77
02/21/2023,Buy,SCHD,1.0,75.6665
02/21/2023,Buy,PTLC,1.0,37.0964
02/21/2023,Buy,DIA,1.0,332.75
02/21/2023,Buy,BRK-B,1.0,302.61
02/21/2023,Buy,WM,1.0,152.6032
02/21/2023,Buy,SCI,1.0,70.935
02/21/2023,Buy,ANET,47,134.53
02/22/2023,Buy,SCHD,1.0,74.915
02/23/2023,Buy,SCI,1.0,69.835
02/23/2023,Buy,WM,1.0,150.23
02/23/2023,Buy,SCI,1.0,69.85
02/23/2023,Buy,DIA,1.0,328.35
02/23/2023,Buy,BRK-B,1.0,300.65
02/23/2023,Sell,NVDA,4.0,235.245
02/23/2023,Sell,ANET,44,134.74
02/23/2023,Buy,FNSFX,1.831,11.61
02/24/2023,Buy,SCI,2.0,68.8753
02/24/2023,Buy,DIA,1.0,327.92
02/24/2023,Buy,SCHD,2.0,74.66
02/24/2023,Buy,PTLC,4.0,36.6345
02/27/2023,Buy,SCI,1.0,68.195
03/02/2023,Sell,CRM,4.0,186.67
03/02/2023,Buy,SCI,1.0,66.99
03/03/2023,Buy,FNSFX,72.818,11.73
03/06/2023,Buy,SCI,2.0,67.29
03/07/2023,Buy,DIA,1.0,331.455
03/07/2023,Buy,PTLC,3.0,37.155
03/07/2023,Buy,SCHD,2.0,74.745
03/07/2023,Buy,SCI,1.0,66.7
03/07/2023,Buy,WM,1.0,149.0686
03/08/2023,Buy,SCHD,1.0,73.96
03/08/2023,Buy,SCI,1.0,65.87
03/09/2023,Buy,PTLC,3.0,36.44
03/09/2023,Buy,BRK-B,1.0,306.275
03/09/2023,Buy,DIA,1.0,324.495
03/09/2023,Buy,SCHD,1.0,73.1791
03/09/2023,Buy,SCHD,1.0,73.6069
03/09/2023,Buy,BRK-B,1.0,309.165
03/09/2023,Buy,DIA,1.0,319.45
03/09/2023,Buy,PTLC,4.0,35.7
03/09/2023,Buy,SCHD,2.0,71.875
03/09/2023,Buy,SCI,2.0,64.5482
03/09/2023,Sell,FNSFX,0.475,11.39
03/12/2023,Buy,SCHD,1.0,71.405
03/12/2023,Buy,SCI,1.0,64.045
03/14/2023,Sell,CRM,2.0,182.0459
03/14/2023,Buy,FNSFX,2.27,11.35
03/15/2023,Buy,BRK-B,1.0,295.97
03/15/2023,Sell,MSFT,1.0,264.165
03/15/2023,Buy,BRK-B,1.0,296.04
03/15/2023,Buy,SCHD,1.0,70.446
03/15/2023,Buy,PTLC,2.0,35.755
03/16/2023,Sell,CRM,2.0,186.6535
03/17/2023,Buy,BRK-B,1.0,295.145
03/17/2023,Buy,SCHD,1.0,70.6999
03/17/2023,Buy,FNSFX,75.992,11.24
03/23/2023,Buy,VTSAX,0.28,95.3000
03/27/2023,Buy,SCHD,0.16763,71.1400
03/29/2023,Sell,CRM,2.0,194.74
03/30/2023,Buy,BRK-B,1.0,303.7662
03/31/2023,Buy,SCI,0.18521,68.7800
03/31/2023,Buy,FNSFX,72.447,11.79
04/12/2023,Sell,CRM,1.0,191.065
04/14/2023,Sell,CRM,2.0,191.85
04/14/2023,Buy,SCHD,1.0,73.355
04/14/2023,Buy,DIA,1.0,337.7582
04/14/2023,Buy,FNSFX,71.717,11.91
04/17/2023,Sell,CRM,1.0,196.51
04/18/2023,Sell,CRM,1.0,198.305
04/18/2023,Buy,SCI,2.0,70.84
04/18/2023,Buy,SCHD,1.0,73.855
04/19/2023,Buy,SCHD,1.0,73.675
04/19/2023,Buy,PTLC,2.0,38.3899
04/20/2023,Buy,SCHD,2.0,73.245
04/20/2023,Buy,PTLC,3.0,38.2399
04/20/2023,Buy,SCI,1.0,70.2885
04/21/2023,Sell,CRM,1.0,198.735
04/21/2023,Buy,SCHD,1.0,73.0491
04/25/2023,Buy,SCHD,1.0,72.505
04/25/2023,Buy,PTLC,2.0,37.96
04/26/2023,Sell,CRM,2.0,192.7617
04/26/2023,Buy,SCHD,2.0,71.425
04/26/2023,Buy,WM,1.0,163.7825
04/26/2023,Sell,QQQ,1.0,313.5413
04/26/2023,Buy,BRK-B,1.0,321.125
04/26/2023,Buy,PTLC,2.0,37.5489
04/27/2023,Sell,CRM,6.0,196.91
04/27/2023,Sell,QQQ,3.0,320.4211
04/27/2023,Buy,WM,2.0,161.72
04/27/2023,Buy,SCI,1.0,70.0666
04/28/2023,Sell,QQQ,1.0,321.6511
04/28/2023,Buy,FNSFX,71.537,11.94
05/02/2023,Buy,BRK-B,2.0,324.09
05/02/2023,Buy,PTLC,6.0,37.9699
05/02/2023,Buy,DIA,1.0,335.1565
05/02/2023,Buy,SCI,5.0,67.925
05/02/2023,Buy,SCHD,4.0,70.765
05/02/2023,Buy,SCHD,2.0,70.6497
05/02/2023,Buy,SCI,1.0,67.0131
05/02/2023,Buy,SCI,1.0,67.0118
05/05/2023,Sell,QQQ,3.0,321.1001
05/05/2023,Sell,SPY,1.0,410.645
05/05/2023,Sell,VOO,1.0,377.37
05/08/2023,Buy,SCHD,3.0,70.695
05/08/2023,Sell,VTSAX,3.008,99.73
05/09/2023,Buy,PTLC,2.0,38.217
05/09/2023,Buy,SCHD,2.0,70.345
05/10/2023,Sell,QQQ,2.0,325.455
05/10/2023,Buy,BRK-B,1.0,325.84
05/10/2023,Buy,BRK-B,1.0,321.3038
05/10/2023,Buy,DIA,1.0,333.33
05/10/2023,Buy,SCHD,3.0,69.725
05/10/2023,Buy,PTLC,3.0,38.1044
05/10/2023,Buy,BRK-B,1.0,321.3294
05/11/2023,Buy,SCI,4.0,65.565
05/11/2023,Buy,SCHD,4.0,69.615
05/11/2023,Buy,PTLC,3.0,38.185
05/12/2023,Sell,QQQ,1.0,326.73
05/12/2023,Buy,WM,1.0,168.9385
05/12/2023,Buy,SCI,2.0,65.5783
05/12/2023,Buy,FNSFX,37.522,11.74
05/12/2023,Buy,FNSFX,72.756,11.74
05/15/2023,Buy,SCI,1.0,65.58
05/15/2023,Sell,QQQ,1.0,326.455
05/15/2023,Buy,SCI,2.0,65.6948
05/16/2023,Buy,SCHD,2.0,69.545
05/16/2023,Sell,QQQ,1.0,328.775
05/16/2023,Buy,DIA,1.0,331.72
05/17/2023,Sell,QQQ,2.0,330.655
05/17/2023,Sell,SPY,1.0,414.99
05/17/2023,Sell,VOO,2.0,381.29
05/17/2023,Buy,WM,1.0,166.965
05/17/2023,Buy,WM,1.0,166.305
05/18/2023,Buy,WM,2.0,164.0124
05/18/2023,Buy,DIA,1.0,333.33
05/18/2023,Buy,SCI,1.0,65.1535
05/18/2023,Buy,SCHD,2.0,69.935
05/18/2023,Buy,WM,1.0,163.9738
05/18/2023,Sell,QQQ,2.0,335.165
05/18/2023,Buy,WM,1.0,163.975
05/18/2023,Buy,SCI,1.0,65.11
05/18/2023,Sell,VOO,1.0,383.26
05/18/2023,Sell,SPY,1.0,416.905
05/18/2023,Sell,VTSAX,4.453,101.32
05/18/2023,Sell,VTSAX,3.0,101.32
05/19/2023,Buy,PTLC,3.0,38.8677
05/19/2023,Buy,DIA,1.0,334.06
05/19/2023,Sell,SPY,1.0,420.2
05/19/2023,Sell,VOO,1.0,385.98
05/19/2023,Sell,QQQ,1.0,337.54
05/19/2023,Sell,VTSAX,3.0,101.1
05/22/2023,Buy,WM,1.0,164.1
05/22/2023,Buy,SCI,1.0,64.975
05/22/2023,Buy,DIA,1.0,333.16
05/22/2023,Buy,BRK-B,1.0,329.9
05/22/2023,Buy,SCI,1.0,65.085
05/22/2023,Buy,SCI,1.0,65.04
05/22/2023,Buy,SCI,1.0,64.97
05/22/2023,Sell,QQQ,1.0,337.73
05/22/2023,Buy,ANET,45,145.37
05/23/2023,Buy,SCI,6.0,62.83
05/23/2023,Buy,WM,2.0,163.2782
05/23/2023,Buy,BRK-B,2.0,325.7769
05/23/2023,Buy,PTLC,10.0,38.63
05/23/2023,Buy,PTLC,5.0,38.63
05/23/2023,Buy,DIA,1.0,332.0189
05/23/2023,Buy,AAPL,1.0,171.81
05/23/2023,Buy,BRK-B,1.0,324.335
05/24/2023,Sell,ANET,20,141.00
05/25/2023,Sell,VTSAX,4.0,100.09
05/25/2023,Sell,QQQ,5.0,339.965
05/25/2023,Sell,SPY,1.0,414.7501
05/25/2023,Sell,VOO,1.0,381.03
05/25/2023,Buy,BRK-B,1.0,318.87
05/25/2023,Buy,WM,1.0,162.069
05/25/2023,Buy,DIA,1.0,327.44
05/25/2023,Buy,SCHD,2.0,69.59
05/25/2023,Buy,SCI,2.0,63.195
05/25/2023,Sell,ANET,25,156.01
05/26/2023,Buy,WM,1.0,161.245
05/26/2023,Sell,QQQ,3.0,348.265
05/26/2023,Sell,SPY,2.0,419.965
05/26/2023,Sell,QQQ,1.0,348.3519
05/26/2023,Sell,VOO,2.0,385.8909
05/26/2023,Sell,VTSAX,8.0,101.41
